satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0
G02,1501.5280718330177,22723591.729395114,13959688.16822566,2052332.4549465105,,
G03,1501.5301490510174,12849055.42877992,8970702.029406164,21314293.77294289,,
G04,1501.530441097013,21733452.246478938,3615833.4782846104,14948703.908289561,,
G06,1501.5144538970198,4774237.741112384,-14619582.845141787,21698584.772661693,,
G09,1501.5228574009961,25265053.492222823,-7269998.759292981,3896088.6717874957,,
G16,1501.513351221016,1694500.9229459409,24065926.927349925,-10918067.78441674,,
G17,1501.5198789169954,21142545.05354461,-13386590.140972022,9554091.79725308,,
G19,1501.5188740309968,13787928.195629597,-15257106.007191498,16408243.025372941,,
G21,1501.524845050997,20953708.92806504,16838304.457225826,-3081332.419406667,,
G26,1501.5170257069985,-4209358.830929763,25863437.47220014,2722042.6170909735,,
G28,1517.5174806290015,-7054727.259673345,13641916.590233773,21657073.468344178,,
G31,1501.5257148579985,2888360.552487352,19121233.56972359,17817359.158163007,,
